Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip	1.674112	0.014248	0.000072	0.295222
specbzip_1	1.674112	0.014248	0.000072	0.295222
specbzip_2	1.673883	0.014248	0.000070	0.295252
specbzip_3	1.674067	0.014249	0.000069	0.295258
specbzip_4	1.708159	0.017941	0.000077	0.230509
specbzip_5	1.645676	0.011250	0.000077	0.382587
specbzip_6	1.665469	0.013342	0.000077	0.317118
specbzip_7	1.659371	0.012735	0.000077	0.333687
specbzip_8	1.718786	0.014842	0.000063	0.330520
specbzip_9	1.636786	0.014829	0.000063	0.240418
specbzip_10	1.678466	0.014830	0.000063	0.286762
specbzip_11	1.671387	0.014833	0.000063	0.278725
specbzip_12	1.798316	0.017058	0.000074	0.421404
specbzip_13	1.633501	0.013936	0.000076	0.170376
specbzip_14	1.653557	0.014606	0.000064	0.113873
specbzip_15	1.608614	0.009211	0.000063	0.493099
specbzip_opt	1.578643	0.006598	0.000054	0.361736
