Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer	1.187516	0.001628	0.000088	0.080828
spechmmer_1	1.187516	0.001628	0.000088	0.080828
spechmmer_2	1.187632	0.001629	0.000131	0.079892
spechmmer_3	1.187566	0.001628	0.000090	0.080737
spechmmer_4	1.189443	0.002105	0.000213	0.060369
spechmmer_5	1.185905	0.000672	0.000211	0.188349
spechmmer_6	1.187410	0.001584	0.000212	0.080601
spechmmer_7	1.187268	0.001599	0.000212	0.079865
spechmmer_8	1.187803	0.001628	0.000212	0.078296
spechmmer_9	1.187803	0.001628	0.000212	0.078296
spechmmer_10	1.187803	0.001628	0.000212	0.078296
spechmmer_11	1.187803	0.001628	0.000212	0.078296
spechmmer_12	1.196807	0.003109	0.000185	0.078905
spechmmer_13	1.181792	0.000880	0.000332	0.072330
spechmmer_14	1.182120	0.000720	0.000464	0.044372
spechmmer_15	1.376437	0.000224	0.000170	0.627107
spechmmer_opt	1.179104	0.000088	0.000332	0.405889
