Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm	3.472501	0.049017	0.000091	0.999923
speclibm_1	3.472501	0.049017	0.000091	0.999923
speclibm_2	3.472549	0.049017	0.000085	0.999954
speclibm_3	3.472549	0.049017	0.000084	0.999960
speclibm_4	3.472501	0.049018	0.000091	0.999919
speclibm_5	3.472501	0.049017	0.000091	0.999923
speclibm_6	3.472501	0.049017	0.000091	0.999925
speclibm_7	3.472501	0.049017	0.000091	0.999925
speclibm_8	3.474637	0.049017	0.000091	0.999921
speclibm_9	3.468252	0.049017	0.000091	0.999921
speclibm_10	3.472501	0.049017	0.000091	0.999921
speclibm_11	3.472501	0.049017	0.000091	0.999921
speclibm_12	5.649303	0.098032	0.000075	0.999972
speclibm_13	2.515268	0.024510	0.000110	0.999794
speclibm_14	1.996237	0.015244	0.000132	0.999476
speclibm_15	3.472501	0.049017	0.000091	0.999923
speclibm_opt	1.994774	0.015244	0.000132	0.999476
