Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf		1.298774	0.002079	0.023610	0.055144
specmcf_1	1.298774	0.002079	0.023610	0.055144
specmcf_2	1.155140	0.002079	0.000019	0.721883
specmcf_3	1.155139	0.002079	0.000018	0.721930
specmcf_4	1.299503	0.002478	0.023611	0.054347
specmcf_5	1.298637	0.001925	0.023609	0.055381
specmcf_6	1.298659	0.001962	0.023610	0.055304
specmcf_7	1.298637	0.001941	0.023610	0.055345
specmcf_8	1.303348	0.002079	0.023610	0.059363
specmcf_9	1.298348	0.002079	0.023610	0.054673
specmcf_10	1.298774	0.002079	0.023610	0.055144
specmcf_11	1.298735	0.002079	0.023610	0.055107
specmcf_12	1.264276	0.003185	0.013170	0.159337
specmcf_13	1.330961	0.001356	0.035297	0.020384
