caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage
specbzip_7,7.0038,0.539842,0.0124137,0.00472789,0.000571604
specbzip_4,7.0038,0.539842,0.0186954,0.00472789,0.000571604
specbzip_11,7.68591,0.539259,0.0155778,0.0046776,0.000568258
specbzip_2,7.0038,0.539842,0.0142749,0.00472789,0.000571604
specbzip_3,7.0038,0.539842,0.0142734,0.00472789,0.000571604
specbzip_opt,18.5988,1.73278,0.0201806,0.0117038,0.00179366
specbzip_13,38.4333,2.39516,0.079718,0.0163995,0.00351474
specbzip_5,7.0038,0.539842,0.0105269,0.00472789,0.000571604
specbzip_1,7.0038,0.539842,0.0142729,0.00472789,0.000571604
specbzip_10,7.69091,0.53917,0.0153082,0.00465773,0.000566123
specbzip_6,7.0038,0.539842,0.0131657,0.00472789,0.000571604
specbzip_12,6.37949,0.245143,0.00790989,0.00445064,0.000433207
specbzip_9,13.3224,0.660042,0.0216879,0.00910636,0.00110378
specbzip,7.0038,0.539842,0.015623,0.00472789,0.000571604
specbzip_8,4.1658,0.435844,0.0110923,0.00278925,0.000397114
specbzip_15,7.0038,0.539842,0.00771249,0.00472789,0.000571604
specbzip_14,63.5151,7.05878,0.224799,0.0342731,0.0079159
