caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage,cpuPeakPower
specsjeng_4,4.59384,1.47789,0.0277932,0.696764,0.0036123,2.98366
specsjeng_7,6.38891,2.18571,0.162849,0.846024,0.00480872,3.84194
specsjeng_1,9.61665,2.54945,0.0932569,1.49924,0.0109133,4.865
specsjeng_10,7.22483,1.95501,0.0932609,1.098,0.00726281,3.86492
specsjeng_opt,37.14,21.6444,1.16753,2.92846,0.0186976,32.6241
specsjeng_12,5.13381,0.917255,0.0286625,0.793678,0.00471982,2.22593
specsjeng_11,7.22483,1.95501,0.0932793,1.098,0.00726281,3.86503
specsjeng_15,11.4319,2.30522,0.142466,1.60905,0.0113189,4.73098
specsjeng_8,7.22483,1.95501,0.0932539,1.098,0.00726281,3.75956
specsjeng_5,9.87973,2.16638,0.124148,1.38119,0.00969175,4.36266
specsjeng_3,8.8343,2.59246,0.0932579,1.2204,0.00831435,4.62657
specsjeng_2,7.98819,2.28119,0.0932589,1.17653,0.00798406,4.2711
specsjeng_13,11.0402,5.36286,0.237105,1.18338,0.00728232,9.22886
specsjeng_6,6.08826,1.96246,0.102002,0.825522,0.0046475,3.59803
specsjeng_9,7.22483,1.95501,0.0933034,1.098,0.00726281,3.99078
specsjeng,7.22483,1.95501,0.0932774,1.098,0.00726281,3.86567
specsjeng_14,26.8722,17.4431,0.632853,2.38722,0.0150925,27.2066
