caseName,area,peakDynamicPower,runtimeDynamicPower,subthresholdLeakage,gateLeakage
specsjeng_4,7.0038,0.539842,0.0145931,0.00472789,0.000571604
specsjeng_7,7.0038,0.539842,0.0145893,0.00472789,0.000571604
specsjeng_1,7.0038,0.539842,0.0145907,0.00472789,0.000571604
specsjeng_10,7.69091,0.53917,0.0144337,0.00465773,0.000566123
specsjeng_opt,83.8533,7.72034,0.103975,0.0425755,0.00935023
specsjeng_12,6.37949,0.245143,0.00855669,0.00445064,0.000433207
specsjeng_11,7.68591,0.539259,0.0144607,0.0046776,0.000568258
specsjeng_15,7.0038,0.539842,0.0145831,0.00472789,0.000571604
specsjeng_8,4.1658,0.435844,0.0117058,0.00278925,0.000397114
specsjeng_5,7.0038,0.539842,0.0145913,0.00472789,0.000571604
specsjeng_3,7.0038,0.539842,0.0145909,0.00472789,0.000571604
specsjeng_2,7.0038,0.539842,0.0145912,0.00472789,0.000571604
specsjeng_13,38.4333,2.39516,0.0494774,0.0163995,0.00351474
specsjeng_6,7.0038,0.539842,0.0145913,0.00472789,0.000571604
specsjeng_9,13.3224,0.660042,0.0178795,0.00910636,0.00110378
specsjeng_14,63.5151,7.05878,0.0930092,0.0342731,0.0079159
